id,区域名称,区域类别,街镇,区县,是否在水乡客厅,面积,人数,总达标率,总覆盖人数比例,总覆盖面积比例,文化设施达标率,文化设施覆盖人数比例,文化设施覆盖面积比例,教育设施达标率,教育设施覆盖人数比例,教育设施覆盖面积比例,交通设施达标率,交通设施覆盖人数比例,交通设施覆盖面积比例,医疗设施达标率,医疗设施覆盖人数比例,医疗设施覆盖面积比例,体育设施达标率,体育设施覆盖人数比例,体育设施覆盖面积比例,养老设施达标率,养老设施覆盖人数比例,养老设施覆盖面积比例
1,示范区全域,示范区全域,无,xxx,否,736343,32566,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
2,水乡客厅,水乡客厅,无,xxx,否,6340.34,2463,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
3,xrs124,控规单元,朱家角镇,xxx,否,345,2464,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
4,xrs125,控规单元,朱家角镇,xxx,是,346,2465,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
5,xrs126,控规单元,朱家角镇,xxx,否,347,2466,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
6,xrs127,控规单元,朱家角镇,xxx,否,348,2467,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
7,xrs128,控规单元,朱家角镇,xxx,否,349,2468,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
8,xrs129,控规单元,朱家角镇,xxx,否,350,2469,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
9,xrs130,控规单元,朱家角镇,xxx,否,351,2470,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
10,xrs131,控规单元,朱家角镇,xxx,否,352,2471,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563,0.6543,0.7533,0.4563
