id,name,设施大类,设施小类,具体类别,城市,区县,街镇,经度,纬度,数据来源,设施等级,服务半径,服务人口,千人指标,描述,geometry
484,朱家角人民医院,公共服务,医疗设施,二级甲等,上海市,青浦区,朱家角镇,121.0383732,31.12901971,长三角示范区POI_沪苏嘉规划分类,二级甲等,,,,示范区内至少布局5 处三级甲等综合医院,0101000020E6100000BFC2DDB474425E404AFD8A6F07213F40
487,上海市青浦区精神卫生中心,公共服务,医疗设施,二级甲等,上海市,青浦区,金泽镇,120.9553499,31.07533611,长三角示范区POI_沪苏嘉规划分类,二级甲等,,,,示范区内至少布局5 处三级甲等综合医院,0101000020E6100000292FE873243D5E4069A8303A49133F40
491,嘉善县第二人民医院,公共服务,医疗设施,二级甲等,嘉兴市,嘉善县,西塘镇,120.888807,30.94602599,长三角示范区POI_沪苏嘉规划分类,二级甲等,,,,示范区内至少布局5 处三级甲等综合医院,0101000020E61000002D5DC136E2385E404D3760C22EF23E40
694,朱家角人民医院 (1),公共服务,医疗设施,综合医院,上海市,青浦区,朱家角镇,121.0383802,31.12904368,长三角一体化_设施,综合医院,,,,,0101000020E610000019F439D274425E40015BB10109213F40
695,朱家角镇社区卫生服务中心分中心,公共服务,医疗设施,卫生服务中心,上海市,青浦区,朱家角镇,121.0615849,31.11057184,长三角一体化_设施,社区级,1000,50000,,,0101000020E61000005CDBCA01F1435E4096A8A46F4E1C3F40
696,沪唯筋骨养护服务中心,公共服务,医疗设施,专科医院,上海市,青浦区,朱家角镇,121.0477169,31.1104557,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E6100000DB3D2FCB0D435E40222823D3461C3F40
697,沪青门诊部,公共服务,医疗设施,诊所,上海市,青浦区,朱家角镇,121.0622297,31.11020713,长三角一体化_设施,社区级,1000,50000,,,0101000020E6100000C1954792FB435E40D222D388361C3F40
698,上海久鑫口腔门诊部,公共服务,医疗设施,诊所,上海市,青浦区,朱家角镇,121.0608602,31.11030304,长三角一体化_设施,社区级,1000,50000,,,0101000020E610000031282E22E5435E400B73EDD13C1C3F40
699,朱雪峰口腔诊所,公共服务,医疗设施,专科医院,上海市,青浦区,朱家角镇,121.0488155,31.10681855,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E61000006D020CCB1F435E402CDBE275581B3F40
700,陆宗兴口腔诊所,公共服务,医疗设施,专科医院,上海市,青浦区,朱家角镇,121.0480274,31.10707795,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E6100000F61384E112435E406B5FE575691B3F40
701,王金村中心卫生室,公共服务,医疗设施,卫生服务中心,上海市,青浦区,朱家角镇,121.1038079,31.07259229,长三角一体化_设施,社区级,1000,50000,,,0101000020E610000042E4E3C9A4465E40E37D876895123F40
391,朱家角镇大淀湖社区老年活动室,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0587716,31.11818785,长三角一体化_设施,社区级,300,5000,2,,0101000020E6100000C0FBF4E9C2435E40D988168F411E3F40
392,张家圩村老年活动室,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0476101,31.11110756,长三角一体化_设施,社区级,300,5000,2,,0101000020E6100000659D3B0B0C435E40D289888B711C3F40
393,上海青浦西湖老年公寓,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0461998,31.10863077,长三角一体化_设施,社区级,300,5000,2,,0101000020E61000003B8501F0F4425E40437DE439CF1B3F40
394,盛家埭_老年活动室,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0535842,31.10889256,长三角一体化_设施,社区级,300,5000,2,,0101000020E610000044A56CEC6D435E404CFAFF61E01B3F40
799,吴江黎里郑雪如妇科诊所,公共服务,医疗设施,专科医院,苏州市,吴江区,汾湖经济开发区,120.7781213,31.05293257,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E61000008BF447BDCC315E40110B29FD8C0D3F40
800,吴彤安中医诊所,公共服务,医疗设施,诊所,苏州市,吴江区,汾湖经济开发区,120.8441838,31.01504808,长三角一体化_设施,社区级,1000,50000,,,0101000020E610000008347D1B07365E40B477E330DA033F40
801,牙洁仕口腔,公共服务,医疗设施,专科医院,苏州市,吴江区,汾湖经济开发区,120.8423184,31.02464522,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E61000006C346F8BE8355E4019E72D264F063F40
802,太阳神中医馆,公共服务,医疗设施,诊所,苏州市,吴江区,汾湖经济开发区,120.7790801,31.05845549,长三角一体化_设施,社区级,1000,50000,,,0101000020E6100000B99DC772DC315E4058D261F0F60E3F40
803,黎里镇莘东社区卫生服务站,公共服务,医疗设施,卫生服务站,苏州市,吴江区,汾湖经济开发区,120.8521043,31.05430431,长三角一体化_设施,社区级,500,15000,0.67,,0101000020E6100000FC5179E088365E405A7B23E3E60D3F40
804,金家坝卫生院,公共服务,医疗设施,卫生服务中心,苏州市,吴江区,汾湖经济开发区,120.7728356,31.09131317,长三角一体化_设施,社区级,1000,50000,,,0101000020E6100000CFCB722376315E4016D8C64C60173F40
805,黎里中心卫生院预防保健科,公共服务,医疗设施,综合医院,苏州市,吴江区,汾湖经济开发区,120.7058834,30.9961031,长三角一体化_设施,综合医院,,,,,0101000020E6100000847291312D2D5E40B9F1DD9C00FF3E40
806,黎里医院 (2),公共服务,医疗设施,专科医院,苏州市,吴江区,汾湖经济开发区,120.7044336,30.99600118,长三角一体化_设施,专科医院,,,,鼓励设置三级专科医院,0101000020E6100000068DAA70152D5E409EE0EEEEF9FE3E40
7829,绿叶工业园,生产配套,产业,产业园区,苏州市,吴江区,黎里镇,120.795723,31.11714457,a产业园POI_苏州,,,,,,0101000020E6100000336B2920ED325E40D20DC12FFD1D3F40
395,朱家角镇周家港村老年活动室,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0513212,31.09931496,长三角一体化_设施,社区级,300,5000,2,,0101000020E6100000DBE5B6D848435E401C3489B46C193F40
396,青浦区朱家角镇薛间村老年活动室,公共服务,养老设施,老年活动室,上海市,青浦区,朱家角镇,121.0180109,31.09646961,长三角一体化_设施,社区级,300,5000,2,,0101000020E61000002F9E301727415E4004027C3BB2183F40
702,朱家角镇先锋村卫生室,公共服务,医疗设施,卫生服务中心,上海市,青浦区,朱家角镇,121.0448512,31.06289334,长三角一体化_设施,社区级,1000,50000,,,0101000020E6100000EE4B91D7DE425E40AB6F26C719103F40
