id,geometry,中心点经度,中心点纬度,地块编号,用地类型,街镇,区县,是否水乡单元,控规单元,area,设施大类,设施小类,覆盖面积,覆盖人数,覆盖地块数
幼1,0106000020E610000001000000010300000001000000060000000F66F5DB1D435E402F16FFBFFB1C3F400261EE8A1A435E40DECE520CF81C3F40C58E568C19435E400FAD60EA0A1D3F4021F367331C435E40F44246B70D1D3F401570C7AB1D435E404847CCACFD1C3F400F66F5DB1D435E402F16FFBFFB1C3F40,120,30,qdq2006,居住,朱家角镇,青浦区,否,xsf34,582.9483934,教育,托幼,1000,35,2
幼2,0106000020E610000001000000010300000001000000110000005B809014CB425E4023273FCF11223F40DDCC38F7CD425E408B0F78B214223F40DB372CD2D0425E4016746DEB17223F40C42FD51DEE425E4038E17FE23A223F409F640C10EF425E408B7C650831223F403E8830CAEC425E407FAB85E229223F40AF107C1EEA425E4028C5CE0321223F40EF0EA837E5425E40F22FBFA315223F40C051B910E0425E403D62006406223F40693044C7DD425E40C5091599FF213F409AD3A5CCDC425E40870D1CF3FD213F40B1CFAE03DC425E40E9FB058AFD213F406280B4E2DA425E409F0F4186FD213F40B8FF7DD6D5425E40AFA988BEFE213F403A8A71ACCF425E40A4CBFE3800223F40C7CF0C02CF425E4060C9738A00223F405B809014CB425E4023273FCF11223F40,121,31,qdq1913,居住,朱家角镇,青浦区,否,xsf35,9344.864974,教育,托幼,1000,35,2
幼3,0106000020E61000000100000001030000000100000031000000FF3C223701435E408219B53CD11D3F40B9EEEC3F02435E401002FF62CC1D3F402AD8ED3403435E405161406ACA1D3F40CBC7759E03435E40BAEA6969C81D3F40D55F324804435E40239C0379C71D3F40561769F502435E40F8286B03B91D3F40A205141C02435E401BF38C59B01D3F40D6FB4C1E01435E4071BBC973AD1D3F407BF98888FF425E40B4133F8CA71D3F4066FF99E3FD425E4037DE6E4A9F1D3F40FA061D90FD425E40F6B261429D1D3F40C149239EFC425E409261B5C2961D3F4052B4AB14FC425E4036554985941D3F403D351E72FB425E40181EE71D921D3F40E5C6FB33FB425E4066B9006E901D3F40CE14CB8BFA425E4040C65EC18C1D3F403C5D1500FA425E40F85C5ED3881D3F40C87C0FC4FA425E407DD036D3821D3F40EF421048FB425E40261C759C7C1D3F400BA57BB6F8425E40F5ECE445791D3F40757D9198FB425E40631884A65F1D3F40AF592878FC425E40688F0E035A1D3F405B82F8FA00435E4019167B47531D3F40AE197AA801435E40B80E07DF531D3F4007807A1C02435E4070C87919531D3F40FBA42B1E02435E40FE3CC9124D1D3F408C346CDA02435E4063D5B1B14C1D3F4099D4FC6A03435E40FE6DDD484D1D3F40A59EB25005435E4001C1263F4D1D3F40A08A078702435E408BA9A0484A1D3F40D0104CCFFE425E40481530AD471D3F408BB696D0F9425E407AEED283461D3F40E627CD54F3425E40727C10B3451D3F400B49FA85F1425E4088903368461D3F40BA0EBB94EF425E40B7E27733461D3F404F66D234EF425E40A612BFEE4A1D3F40C7CBFDF1E8425E4041972B21921D3F40BA6B27D4F3425E408819F8EC9D1D3F40875F72FCF3425E404B545320D31D3F407770BA1CF6425E4041716D9FD31D3F409CB94D2DF8425E40588F91AED31D3F404BD78481FA425E400AF4D764D31D3F40A62D910CFB425E4059B74446D31D3F401CBA07AAFB425E40334B7C1ED31D3F40C8981D5AFC425E40B2D5FCECD21D3F4069FBFFE9FC425E4071DB7AC1D21D3F4094A7A58CFD425E408B1CC08DD21D3F400811A433FE425E400A263F57D21D3F40FF3C223701435E408219B53CD11D3F40,122,32,qdq1986,居住,朱家角镇,青浦区,是,xsf36,20751.06035,教育,托幼,1000,35,2
幼4,0106000020E6100000010000000103000000010000000A000000120E2A3957415E40D8DABCBD431B3F40000A43E954415E4014640A45421B3F40E78B61DF4F415E40F51056D33D1B3F4091697D424C415E4066A090863B1B3F406B0561DA4F415E4032E96547421B3F40E62261FB51415E4005189457451B3F4006F3CB3B54415E400B476E22471B3F40064B81FB55415E4044E7B627481B3F40E6D6F62C57415E4052A4537B481B3F40120E2A3957415E40D8DABCBD431B3F40,123,33,qdq1890,居住,朱家角镇,青浦区,否,xsf37,459.2540804,教育,托幼,1000,35,2
幼5,0106000020E6100000010000000103000000010000000B0000008787FD0581415E40D4AD9687411D3F40A546F42476415E40B4BAEC303C1D3F408042C37973415E4099642B5C781D3F4053C63D1577415E404F4F301F7A1D3F40FA1907327A415E402F1DB7E37B1D3F40E2A806C77C415E40A41FCD2B7D1D3F4056A083057E415E40108B68767D1D3F406672836780415E40254FB5757E1D3F40668D617E81415E40B53A9FFE7E1D3F405B535FBC81415E402F9B0838601D3F408787FD0581415E40D4AD9687411D3F40,124,34,qdq2159,居住,朱家角镇,青浦区,否,xsf38,7687.348525,教育,托幼,1000,35,2
幼6,0106000020E6100000010000000103000000010000000600000058EC93C43F415E403C05C77E271B3F4080D1ACA941415E4067FDE812291B3F400198E64D41415E4012A15D3F261B3F40418CBF8C40415E40DB72DD51251B3F402EB0B80240415E40F944C04E261B3F4058EC93C43F415E403C05C77E271B3F40,125,35,qdq1891,居住,朱家角镇,青浦区,否,xsf39,37.220532,教育,托幼,1000,35,2
幼7,0106000020E61000000100000001030000000100000008000000659DC98E5A415E40BD412594461B3F409DEA903E59415E4003E00407451B3F40160E2A3957415E40B0D9BCBD431B3F40F2D6F62C57415E402DA3537B481B3F40FC64F3E258415E40807CF797491B3F40E1B8B6C559415E408911084D4A1B3F402360A4755A415E4023ACA3454B1B3F40659DC98E5A415E40BD412594461B3F40,126,36,qdq1888,居住,朱家角镇,青浦区,否,xsf40,155.5308349,教育,托幼,1000,35,2
幼8,0106000020E61000000100000001030000000100000007000000D2FAFDAC73425E40BA2150601A193F4017262F6171425E40E03C29D122193F40F1F747BE78425E402C6736D833193F403BCCE1837A425E4003E07BA737193F40FA03D95A7C425E40E5F6CD0F3B193F40F5BEDF1E7E425E40656E78D73D193F40D2FAFDAC73425E40BA2150601A193F40,127,37,qdq2088,居住,朱家角镇,青浦区,否,xsf41,941.8716043,教育,托幼,1000,35,2
幼9,0106000020E61000000100000001030000000100000005000000B3C8AEC4C8415E4066464AFF08203F40A4B69CC0C8415E40474D74290A203F409DDDE0BFC8415E404C7CA3A90C203F40738727C0C8415E40D007A5A90C203F40B3C8AEC4C8415E4066464AFF08203F40,128,38,qdq2178,居住,朱家角镇,青浦区,否,xsf42,0.198831088,教育,托幼,1000,35,2
幼10,0106000020E610000001000000010300000001000000110000007B5422FD04435E4023EC6460DC213F401A21842E00435E40A2F9B0D2D7213F4048D74768FB425E40CAE9E1E0D2213F4098AF1DABF6425E406DFCB48BCD213F400D7DB2F7F1425E40D2A7E8D3C7213F40A679B64EED425E408CE851BAC1213F404B7CD3B0E8425E409BBBD43FBB213F40FBBBC909E3425E40CB8DE14BF5213F40BA671D40E7425E4044CCE2BB00223F4096813D41EC425E4051FA32A50E223F409FF04F17F4425E4001DB7F2D22223F40E0051C67F8425E40372C55BF2E223F40BF705662FA425E40336F8C8436223F40BCF3D22704435E40FC924E6C40223F4010C3221A05435E4079DA8DCFDF213F40ABC4051505435E4089555114DE213F407B5422FD04435E4023EC6460DC213F40,129,39,qdq1911,居住,朱家角镇,青浦区,否,xsf43,27078.74873,教育,托幼,1000,35,2
